label,article_of_option1,option1,article_of_option2,option2,raw_pr1,raw_pr2,norm_pr1,norm_pr2
fork,a,tree,a,cow,4.6563356799209954e-09,4.466602130370666e-09,0.5103987089189784,0.4896012910810217
broom,a,horse,a,bear,8.765441906837968e-09,8.215926860269004e-09,0.5161799397358763,0.4838200602641237
necklace,a,centipede,a,spider,9.799052468467952e-09,7.703974875862341e-09,0.5598490064429986,0.4401509935570013
bow-tie,a,dragonfly,a,dalmatian,1.3271542589865358e-08,0.0012882825647188266,1.0301626549053242e-05,0.9999896983734509
can,a,car,an,apple,8.796568646102422e-09,1.516729253860543e-08,0.3670764313939445,0.6329235686060555
tape_measure,a,chameleon,a,jellyfish,1.1055470377494947e-08,8.472063461006441e-09,0.5661478028371135,0.4338521971628865
umbrella,a,dancer,a,painter,6.055312611765318e-09,5.655865411942519e-09,0.517054099895594,0.4829459001044059
wine_bottle,a,bus,an,elephant,8.465287629066848e-09,1.0061904761638464e-08,0.45691151959504117,0.5430884804049588
spoon,a,rose,a,lock,1.1274516057118427e-08,6.480535535944322e-09,0.6350032833204272,0.3649967166795728
avocado,a,turtle,a,frog,8.472082771340317e-09,8.458431360326564e-09,0.5004031599663066,0.4995968400336933
tape,a,snail,a,motorcycle,9.278022703855521e-09,1.3210083617773326e-08,0.4125746548490838,0.5874253451509162
pineapple,a,bouquet,a,palm tree,1.4539509014173795e-08,8.084859576525593e-09,0.6426481674344192,0.35735183256558084
marker,a,plane,a,lantern,8.853316710732533e-09,1.2575883488400417e-08,0.41314265714362725,0.5868573428563728
battery,a,car,a,snowman,1.664532265545756e-08,8.773640384158187e-09,0.6548387764487338,0.3451612235512663
card,a,tent,a,butterfly,1.3745425185275219e-08,1.1984678705466843e-08,0.5342156892814162,0.46578431071858384
paint_brush,a,fish,a,sheep,9.960856321475612e-09,7.996742614737392e-09,0.5546875368392771,0.44531246316072304
airplane,an,eagle,a,strawman,8.108823584151072e-09,6.659630276353031e-09,0.5490638126877209,0.4509361873122792
clock,an,armchair,a,crown,9.098025138629784e-09,7.637102805716656e-09,0.5436483765696773,0.45635162343032265
carnation,a,mop,a,bird,5.451815265090715e-09,7.4437729574719075e-09,0.42276592358555676,0.5772340764144434
